offer_id,name,pack_size
DE201,SCHWARZ,72
DE202,DETOX,72
DE203,GINGER FORCE,72
DE205,COCOCANNABIS,72
DE206,SYMBIOS,72
DE207,BUDDY MICROBIES,72
DE208,EVOLUTION kids,72
DE209,THERMO 39°,72
DE210,INNOWEISS,72
DE310,INNOWEISS mouthwash,
DE101,ETALON,288
DE105,SCHWARZ brush,288
DE106,SENSITIV,288
DE107,MITTEL,288
DE111,WAXED MINT floss,
DE112,EXPANDING floss,
DE115,SCHWARZ floss,
DE116,KRAFT,288
DE117,ZERO,288
DE119,GROSSE,288
DE120,NANO MASSAGE,288
DE122,AKTIV,288
DE125,INTERDENTALS S,
DE126,INTERDENTALS M,
DE130,INTENSIV,288
DE131,3D brush,288
